step,loss
0,0.6904292106628418
1,0.6639696359634399
2,0.6860940456390381
3,0.7673041820526123
4,0.747800886631012
5,0.6967030167579651
6,0.7074227333068848
7,0.6954426169395447
8,0.6927872896194458
9,0.6890062689781189
10,0.6912591457366943
11,0.6882272362709045
12,0.6930475831031799
13,0.6778146624565125
14,0.7139483690261841
15,0.6959115266799927
16,0.6965016722679138
17,0.6837245225906372
18,0.6923826336860657
19,0.6953585743904114
20,0.6796671152114868
21,0.7010319232940674
22,0.7034515142440796
23,0.6855297088623047
24,0.687257707118988
25,0.6838839054107666
26,0.6675389409065247
27,0.6768224239349365
28,0.6655527949333191
29,0.7250723838806152
30,0.6482429504394531
31,0.6214123368263245
32,0.653164267539978
33,0.6537306308746338
34,0.7346429824829102
35,0.6802981495857239
36,0.6842270493507385
37,0.6552385091781616
38,0.6645949482917786
39,0.6538643836975098
40,0.6518961787223816
41,0.6980949640274048
42,0.6964675188064575
43,0.6223149299621582
44,0.6702829599380493
45,0.6518762111663818
46,0.6420228481292725
47,0.595300018787384
48,0.6549155712127686
49,0.7150567173957825
50,0.5704014897346497
51,0.593788743019104
52,0.6083882451057434
53,0.7091467380523682
54,0.6067094206809998
55,0.6333548426628113
56,0.6149846315383911
57,0.515813410282135
58,0.5285508036613464
59,0.6005487442016602
60,0.5740354061126709
61,0.6503698229789734
62,0.4858516454696655
63,0.6561958193778992
64,0.8906227946281433
65,0.6084820032119751
66,0.45274966955184937
67,0.5831632614135742
68,0.6214555501937866
69,0.5889353156089783
70,0.6489313244819641
71,0.6253212690353394
72,0.564958930015564
73,0.5372982025146484
74,0.49980926513671875
75,0.6601473093032837
76,0.6382681727409363
77,0.5443166494369507
78,0.5502064824104309
79,0.509524405002594
80,0.643517255783081
81,0.6601809859275818
82,0.5971479415893555
83,0.45720377564430237
84,0.5110482573509216
85,0.618667721748352
86,0.5904331803321838
87,0.5509458780288696
88,0.40119433403015137
89,0.44464731216430664
90,0.42401182651519775
91,0.6450663208961487
92,0.49617886543273926
93,0.6160666346549988
94,0.5368099212646484
95,0.44718021154403687
96,0.5208498239517212
97,0.5937723517417908
98,0.4871831238269806
99,0.4132090210914612
100,0.6180332899093628
101,0.784389853477478
102,0.5550974607467651
103,0.6799746155738831
104,0.6513705849647522
105,0.5297515392303467
106,0.5114532113075256
107,0.6413117051124573
108,0.44834578037261963
109,0.6686070561408997
110,0.49390581250190735
111,0.6620661020278931
112,0.5432391166687012
113,0.6540711522102356
114,0.4893966317176819
115,0.5979796051979065
116,0.6060375571250916
117,0.426087886095047
118,0.49045997858047485
119,0.5002836585044861
120,0.46547865867614746
121,0.5805090665817261
122,0.6256954073905945
123,0.826088547706604
124,0.6352293491363525
125,0.48189210891723633
126,0.4583142399787903
127,0.5120940208435059
128,0.5092472434043884
129,0.5515230894088745
130,0.6136825084686279
131,0.5882245302200317
132,0.4558567702770233
133,0.48468345403671265
134,0.659869372844696
135,0.5069471597671509
136,0.5822618007659912
137,0.5729358196258545
138,0.4415861964225769
139,0.35064372420310974
140,0.6364697217941284
141,0.5602390766143799
142,0.512480616569519
143,0.5607112050056458
144,0.40144404768943787
145,0.4929276406764984
146,0.49997618794441223
147,0.44037333130836487
148,0.5095945596694946
149,0.4248342216014862
150,0.5174802541732788
151,0.43967607617378235
152,0.5929490923881531
153,0.5835443735122681
154,0.3611292243003845
155,0.5983445644378662
