step,loss
0,0.6956620812416077
1,0.6919869780540466
2,0.6872115731239319
3,0.7230648398399353
4,0.6824419498443604
5,0.7065927386283875
6,0.6927245855331421
7,0.6932511925697327
8,0.6924456357955933
9,0.7009824514389038
10,0.6913159489631653
11,0.6891157627105713
12,0.6963571906089783
13,0.695254385471344
14,0.6947031021118164
15,0.6903418302536011
16,0.6914316415786743
17,0.6901829242706299
18,0.6954704523086548
19,0.6947479844093323
20,0.6926819682121277
21,0.6913577914237976
22,0.6909582614898682
23,0.6858282089233398
24,0.684619665145874
25,0.7015863060951233
26,0.6849893927574158
27,0.6801261901855469
28,0.6899747848510742
29,0.6807583570480347
30,0.6578831076622009
31,0.6747423410415649
32,0.6861153841018677
33,0.6380335688591003
34,0.6899638175964355
35,0.7315934300422668
36,0.7030802965164185
37,0.6874697804450989
38,0.6935552358627319
39,0.6896961331367493
40,0.6896300315856934
41,0.6786515116691589
42,0.6841780543327332
43,0.6873358488082886
44,0.6720081567764282
45,0.6596969962120056
46,0.6165858507156372
47,0.7156349420547485
48,0.6625174283981323
49,0.7183504104614258
50,0.7890794277191162
51,0.6739230155944824
52,0.6355234980583191
53,0.6328557729721069
54,0.6497373580932617
55,0.6564655900001526
56,0.6295802593231201
57,0.6273085474967957
58,0.6705918908119202
59,0.6692905426025391
60,0.6826838254928589
61,0.5987759828567505
62,0.6362322568893433
63,0.5587342381477356
64,0.5736311674118042
65,0.6038990020751953
66,0.6103304624557495
67,0.47565555572509766
68,0.5163922309875488
69,0.5364378690719604
70,0.5855321884155273
71,0.727424144744873
72,0.4119388163089752
73,0.598194420337677
74,0.45686691999435425
75,0.6073777079582214
76,0.6575365662574768
77,0.5477679967880249
78,0.7329581379890442
79,0.6534862518310547
80,0.5118005275726318
81,0.7297706007957458
82,0.5437424182891846
83,0.6064476370811462
84,0.6015026569366455
85,0.5687605738639832
86,0.5138919353485107
87,0.6103274822235107
88,0.5213212966918945
89,0.46966975927352905
90,0.559919536113739
91,0.6611062288284302
92,0.422321617603302
93,0.5984340310096741
94,0.65046226978302
95,0.5389195680618286
96,0.5140016078948975
97,0.6564278602600098
98,0.5683438777923584
99,0.5593826174736023
100,0.5369449853897095
101,0.515285849571228
102,0.6912735104560852
103,0.6881819367408752
104,0.5223003029823303
105,0.5883258581161499
106,0.6170845627784729
107,0.6631177067756653
108,0.5525338649749756
109,0.4748121500015259
110,0.5604205131530762
111,0.4585653245449066
112,0.5167884230613708
113,0.44533735513687134
114,0.5048785209655762
115,0.4538973271846771
116,0.4947426915168762
117,0.5465469360351562
118,0.590803861618042
119,0.6003928184509277
120,0.47409191727638245
121,0.46239981055259705
122,0.5839686393737793
123,0.54365473985672
124,0.6086937189102173
125,0.6013623476028442
126,0.4866271913051605
127,0.5162189602851868
128,0.4384462833404541
129,0.5263240337371826
130,0.4264061748981476
131,0.5802059173583984
132,0.47408032417297363
133,0.49532368779182434
134,0.36652612686157227
135,0.5007119178771973
136,0.5448335409164429
137,0.5180418491363525
138,0.5036504864692688
139,0.5709478855133057
140,0.34131476283073425
141,0.6129211187362671
142,0.5603604316711426
143,0.36190396547317505
144,0.4183945655822754
145,0.40940889716148376
146,0.4409807324409485
147,0.4520116448402405
148,0.4071086049079895
149,0.38278526067733765
150,0.4264584481716156
151,0.43697088956832886
152,0.5464531779289246
153,0.5188501477241516
154,0.4635486602783203
155,0.4220697283744812
156,0.5016897320747375
157,0.43946459889411926
158,0.6119318604469299
159,0.49373626708984375
160,0.36948928236961365
161,0.5841651558876038
162,0.45642051100730896
163,0.44856348633766174
164,0.4639374911785126
165,0.4370143413543701
166,0.4013865292072296
167,0.3474499583244324
168,0.4617897868156433
169,0.4559990167617798
170,0.26779013872146606
171,0.5526820421218872
172,0.46596747636795044
173,0.5828794240951538
174,0.2545630931854248
175,0.4144943952560425
176,0.35847389698028564
177,0.4527050852775574
178,0.40660005807876587
179,0.36948877573013306
180,0.37941640615463257
181,0.5263891220092773
182,0.3448120355606079
183,0.29054543375968933
184,0.23578563332557678
185,0.4141334593296051
186,0.3616878092288971
187,0.4886355400085449
188,0.344412624835968
189,0.37245965003967285
190,0.2984524071216583
191,0.6576719284057617
192,0.46679675579071045
193,0.47641029953956604
194,0.3444819450378418
195,0.4648544490337372
196,0.36379316449165344
197,0.43270343542099
198,0.38765060901641846
199,0.5205036401748657
200,0.5014769434928894
201,0.3738834261894226
202,0.4565368592739105
203,0.36057794094085693
204,0.36481502652168274
205,0.47536084055900574
