step,loss
0,0.7006081938743591
1,0.6915419697761536
2,0.6891161203384399
3,0.7018061280250549
4,0.6997252702713013
5,0.694611132144928
6,0.677798330783844
7,0.6809180974960327
8,0.7884065508842468
9,0.7195624709129333
10,0.6998312473297119
11,0.6927204728126526
12,0.6871950626373291
13,0.6893454790115356
14,0.6847516298294067
15,0.6856326460838318
16,0.701782763004303
17,0.6875828504562378
18,0.6911376118659973
19,0.6947187185287476
20,0.7067141532897949
21,0.6745079159736633
22,0.6791333556175232
23,0.6801549196243286
24,0.6824395060539246
25,0.6937054395675659
26,0.6640031933784485
27,0.6532588005065918
28,0.6481750011444092
29,0.6617023944854736
30,0.7102886438369751
31,0.7917174100875854
32,0.6005154252052307
33,0.5870800018310547
34,0.7388613820075989
35,0.6874954104423523
36,0.6471903920173645
37,0.6852169036865234
38,0.604857325553894
39,0.6794036030769348
40,0.5767149329185486
41,0.5805037021636963
42,0.6075869798660278
43,0.5610418915748596
44,0.7275895476341248
45,0.6456528306007385
46,0.5180283188819885
47,0.5890984535217285
48,0.6688586473464966
49,0.6011318564414978
50,0.6763632297515869
51,0.6359532475471497
52,0.5473536252975464
53,0.5623428821563721
54,0.5307227969169617
55,0.6880154609680176
56,0.6163716912269592
57,0.6620802879333496
58,0.6047189235687256
59,0.5193862318992615
60,0.6363592743873596
61,0.623259961605072
62,0.5963996052742004
63,0.4102381467819214
64,0.6777302026748657
65,0.5366355180740356
66,0.5015140175819397
67,0.6278975009918213
68,0.427532434463501
69,0.5216609835624695
70,0.5763282179832458
71,0.6384826898574829
72,0.39437001943588257
73,0.5018699169158936
74,0.46693849563598633
75,0.5031301975250244
76,0.7521386742591858
77,0.4783657193183899
78,0.5626987814903259
79,0.7695795893669128
80,0.8250794410705566
81,0.5926116704940796
82,0.5756757259368896
83,0.5614004135131836
84,0.6089246273040771
85,0.6117787957191467
86,0.6448833346366882
87,0.5825191736221313
88,0.5841938257217407
89,0.6757614016532898
90,0.6845467686653137
91,0.6446313261985779
92,0.6416050791740417
93,0.5152214169502258
94,0.5787860155105591
95,0.5187044143676758
96,0.72150719165802
97,0.5928685665130615
98,0.7158035635948181
99,0.6565535068511963
100,0.5351137518882751
101,0.6225705146789551
102,0.588375449180603
103,0.6043005585670471
104,0.6667748093605042
105,0.6026723384857178
106,0.5157365798950195
107,0.5403050780296326
108,0.5740525722503662
109,0.5560418367385864
110,0.4658011198043823
111,0.38806766271591187
112,0.5014925003051758
113,0.5439940094947815
114,0.5693535804748535
115,0.4667378067970276
116,0.5126628875732422
117,0.49160683155059814
118,0.5813528895378113
119,0.5485735535621643
120,0.43025052547454834
121,0.38026875257492065
122,0.47348037362098694
123,0.5809688568115234
124,0.6508795022964478
125,0.4338282346725464
126,0.4155866801738739
127,0.3509203791618347
128,0.5769783854484558
129,0.6093924641609192
130,0.4839061498641968
131,0.41793930530548096
132,0.33750802278518677
133,0.3851638734340668
134,0.42464613914489746
135,0.44333529472351074
136,0.5891974568367004
137,0.33227986097335815
138,0.5167109370231628
139,0.38654661178588867
140,0.5180774927139282
141,0.3945544958114624
142,0.40369775891304016
143,0.5104698538780212
144,0.40207627415657043
145,0.5365853309631348
146,0.5794661641120911
147,0.3087656497955322
148,0.5128700733184814
149,0.42586439847946167
150,0.4561518728733063
151,0.3629170358181
152,0.4519534111022949
153,0.30646413564682007
154,0.5524246096611023
155,0.4572712779045105
156,0.5513460040092468
157,0.34158778190612793
158,0.4954792559146881
159,0.4297533929347992
160,0.4950982630252838
161,0.4837857186794281
162,0.35467031598091125
163,0.515641450881958
164,0.48503589630126953
165,0.25140219926834106
166,0.453022301197052
167,0.4070625901222229
168,0.6341120004653931
169,0.39173704385757446
170,0.5392395257949829
171,0.3803500831127167
172,0.4616728723049164
173,0.5336382985115051
174,0.4250941872596741
175,0.3308936357498169
176,0.3346010148525238
177,0.4554063081741333
178,0.6069263219833374
179,0.2357177883386612
180,0.43761491775512695
181,0.3037376403808594
182,0.35031765699386597
183,0.4579432010650635
184,0.3392079174518585
185,0.5464431047439575
186,0.38520389795303345
187,0.274059534072876
188,0.4280940592288971
189,0.6039133667945862
190,0.4083392024040222
191,0.30464908480644226
192,0.5071814060211182
193,0.6614125967025757
194,0.5150080919265747
195,0.3549222946166992
196,0.48463693261146545
197,0.35659611225128174
198,0.4055377244949341
199,0.47802603244781494
200,0.4520632028579712
201,0.39980947971343994
202,0.361946165561676
203,0.40362563729286194
204,0.38106706738471985
205,0.26114174723625183
206,0.4138730764389038
207,0.42762747406959534
208,0.5302894115447998
209,0.3225708603858948
210,0.38133931159973145
211,0.4194267690181732
212,0.47505322098731995
213,0.40683528780937195
214,0.5413501858711243
215,0.5109348893165588
216,0.27740269899368286
217,0.29180634021759033
218,0.5328373312950134
219,0.4196999669075012
220,0.3699828088283539
221,0.4742564857006073
222,0.37138527631759644
223,0.3109153211116791
224,0.44684505462646484
225,0.4253998398780823
226,0.25947415828704834
227,0.26141512393951416
228,0.36302074790000916
229,0.33334335684776306
230,0.3586405813694
231,0.45491451025009155
232,0.4486621618270874
233,0.37411028146743774
234,0.3028148412704468
235,0.3600217401981354
